-------------------------------------------------------------------------------------------
||    ||      Nodos Generados                   ||                  b*                   ||
-------------------------------------------------------------------------------------------
||   d||    BFS   |    IDS  | A*h(1)  | A*h(2)  ||    BFS  |    IDS  | A*h(1)  | A*h(2)  ||
-------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------
||   2||      8   |     10  |      5  |      5  ||   2,36  |   2,79  |   1,88  |   1,88  ||
||   3||     18   |     32  |      9  |      8  ||   2,20  |   2,77  |   1,70  |   1,61  ||
||   4||     38   |    100  |     12  |     11  ||   2,15  |   2,83  |   1,51  |   1,46  ||
||   5||     68   |    269  |     17  |     14  ||   2,04  |   2,78  |   1,44  |   1,37  ||
||   6||    121   |    761  |     24  |     18  ||   1,98  |   2,78  |   1,41  |   1,33  ||
||   7||    218   |   2206  |     32  |     22  ||   1,94  |   2,80  |   1,38  |   1,29  ||
||   8||    382   |   6565  |     51  |     28  ||   1,92  |   2,82  |   1,40  |   1,28  ||
||   9||    629   |  17647  |     71  |     34  ||   1,88  |   2,81  |   1,40  |   1,25  ||
||  10||   1019   |  49404  |    115  |     48  ||   1,85  |   2,80  |   1,42  |   1,27  ||
||  11||   1614   |      0  |    170  |     63  ||   1,82  |   0,00  |   1,43  |   1,27  ||
||  12||   2692   |      0  |    269  |     84  ||   1,80  |   0,00  |   1,44  |   1,27  ||
||  13||   4342   |      0  |    400  |    110  ||   1,79  |   0,00  |   1,45  |   1,27  ||
||  14||   6984   |      0  |    614  |    143  ||   1,77  |   0,00  |   1,46  |   1,27  ||
||  15||  11512   |      0  |   1002  |    216  ||   1,76  |   0,00  |   1,47  |   1,29  ||
||  16||  17626   |      0  |   1503  |    290  ||   1,75  |   0,00  |   1,47  |   1,29  ||
||  17||  27077   |      0  |   2410  |    393  ||   1,73  |   0,00  |   1,48  |   1,29  ||
||  18||  41025   |      0  |   3643  |    499  ||   1,72  |   0,00  |   1,48  |   1,29  ||
||  19||  62614   |      0  |   5619  |    719  ||   1,71  |   0,00  |   1,48  |   1,30  ||
||  20||  90112   |      0  |   9103  |    912  ||   1,69  |   0,00  |   1,49  |   1,30  ||
||  21|| 128559   |      0  |  12757  |   1206  ||   1,68  |   0,00  |   1,49  |   1,30  ||
||  22|| 172434   |      0  |  20871  |   1630  ||   1,66  |   0,00  |   1,49  |   1,30  ||
||  23|| 231884   |      0  |  30559  |   2215  ||   1,64  |   0,00  |   1,49  |   1,30  ||
-------------------------------------------------------------------------------------------
